食品名,エネルギーkcal,たんぱく質,脂質,炭水化物,食塩相当量,,,,,,,
こまつな　葉　ゆで,14.0 ,1.6 ,0.1 ,3.0,0,,,,,,,
コリアンダー　葉　生,18.0 ,1.4 ,0.4 ,4.6 ,0,,,,,,,
ザーサイ　漬物,20.0 ,2.5 ,0.1 ,4.6 ,13.7 ,,,,,,,
さんとうさい　葉　生,12.0 ,1.0,0.2 ,2.7 ,0,,,,,,,
さんとうさい　葉　ゆで,14.0 ,1.4 ,0.3 ,2.9 ,0,,,,,,,
さんとうさい　塩漬,18.0 ,1.5 ,0.3 ,4.0,2.3 ,,,,,,,
しかくまめ　若ざや　生,19.0 ,2.4 ,0.1 ,3.8 ,0,,,,,,,
ししとう　果実　生,24.0 ,1.9 ,0.3 ,5.7 ,0,,,,,,,
ししとう　果実　油いため,51.0 ,1.9 ,3.2 ,5.8 ,0,,,,,,,
しそ　葉　生,32.0 ,3.9 ,0.1 ,7.5 ,0,,,,,,,
しそ　実　生,32.0 ,3.4 ,0.1 ,8.9 ,0,,,,,,,
じゅうろくささげ　若ざや　生,22.0 ,2.5 ,0.1 ,4.8 ,0,,,,,,,
じゅうろくささげ　若ざや　ゆで,28.0 ,2.8 ,0.1 ,6.2 ,0,,,,,,,
しゅんぎく　葉　生,20.0 ,2.3 ,0.3 ,3.9 ,0.2 ,,,,,,,
しゅんぎく　葉　ゆで,25.0 ,2.7 ,0.5 ,4.5 ,0.1 ,,,,,,,
じゅんさい　若葉　水煮びん詰,4.0 ,0.4 ,0,1.0,0,,,,,,,
しょうが類　葉しょうが　根茎　生,9.0 ,0.5 ,0.2 ,2.1 ,0,,,,,,,
しょうが類　しょうが　根茎　皮なし　生,28.0 ,0.9 ,0.3 ,6.6 ,0,,,,,,,
しょうが類　しょうが　根茎　皮なし　生　おろし,58.0 ,0.7 ,0.8 ,16.0,0,,,,,,,
しょうが類　しょうが　根茎　皮なし　生　おろし汁,17.0 ,0.4 ,0.3 ,3.5 ,0,,,,,,,
しょうが類　しょうが　漬物　酢漬,15.0 ,0.3 ,0.2 ,3.9 ,5.6 ,,,,,,,
しょうが類　しょうが　漬物　甘酢漬,44.0 ,0.2 ,0.4 ,10.7 ,2.0,,,,,,,
しょうが類　新しょうが　根茎　生,10.0 ,0.3 ,0.3 ,2.7 ,0,,,,,,,
しろうり　果実　生,15.0 ,0.9 ,0.1 ,3.3 ,0,,,,,,,
しろうり　漬物　塩漬,15.0 ,1.0,0.1 ,3.7 ,2.0,,,,,,,
しろうり　漬物　奈良漬,216.0 ,4.6 ,0.2 ,40.0,4.8 ,,,,,,,
ずいき　生ずいき　生,15.0 ,0.5 ,0,4.1 ,0,,,,,,,
ずいき　生ずいき　ゆで,10.0 ,0.4 ,0,3.1 ,0,,,,,,,
ずいき　干しずいき　乾,232.0 ,6.6 ,0.4 ,63.5 ,0,,,,,,,
ずいき　干しずいき　ゆで,9.0 ,0.5 ,0,3.4 ,0,,,,,,,
すいぜんじな　葉　生,16.0 ,0.6 ,0.6 ,3.4 ,0,,,,,,,
すぐきな　葉　生,23.0 ,1.9 ,0.2 ,5.4 ,0.1 ,,,,,,,
すぐきな　根　生,19.0 ,0.6 ,0.1 ,4.7 ,0.1 ,,,,,,,
すぐきな　すぐき漬,30.0 ,2.6 ,0.7 ,6.1 ,2.2 ,,,,,,,
ズッキーニ　果実　生,16.0 ,1.3 ,0.1 ,2.8 ,0,,,,,,,
せり　茎葉　生,17.0 ,2.0,0.1 ,3.3 ,0,,,,,,,
せり　茎葉　ゆで,17.0 ,2.1 ,0.1 ,3.4 ,0,,,,,,,
セロリ　葉柄　生,12.0 ,0.4 ,0.1 ,3.6 ,0.1 ,,,,,,,
ぜんまい　生ぜんまい　若芽　生,27.0 ,1.7 ,0.1 ,6.6 ,0,,,,,,,
ぜんまい　生ぜんまい　若芽　ゆで,17.0 ,1.1 ,0.4 ,4.1 ,0,,,,,,,
ぜんまい　干しぜんまい　干し若芽　乾,277.0 ,14.6 ,0.6 ,70.8 ,0.1 ,,,,,,,
ぜんまい　干しぜんまい　干し若芽　ゆで,25.0 ,1.7 ,0.1 ,6.8 ,0,,,,,,,
そらまめ　未熟豆　生,102.0 ,10.9 ,0.2 ,15.5 ,0,,,,,,,
そらまめ　未熟豆　ゆで,103.0 ,10.5 ,0.2 ,16.9 ,0,,,,,,,
タアサイ　葉　生,12.0 ,1.3 ,0.2 ,2.2 ,0.1 ,,,,,,,
タアサイ　葉　ゆで,11.0 ,1.1 ,0.2 ,2.3 ,0.1 ,,,,,,,
だいこん類　かいわれだいこん　芽ばえ　生,21.0 ,2.1 ,0.5 ,3.3 ,0,,,,,,,
だいこん類　葉だいこん　葉　生,17.0 ,2.0,0.2 ,3.3 ,0.1 ,,,,,,,
だいこん類　だいこん　葉　生,23.0 ,2.2 ,0.1 ,5.3 ,0.1 ,,,,,,,
だいこん類　だいこん　葉　ゆで,24.0 ,2.2 ,0.1 ,5.4 ,0.1 ,,,,,,,
だいこん類　だいこん　根　皮つき　生,15.0 ,0.5 ,0.1 ,4.1 ,0,,,,,,,
だいこん類　だいこん　根　皮つき　ゆで,15.0 ,0.4 ,Tr,4.5 ,0,,,,,,,
だいこん類　だいこん　根　皮なし　生,15.0 ,0.4 ,0.1 ,4.1 ,0,,,,,,,
だいこん類　だいこん　根　皮なし　生　おろし,25.0 ,0.6 ,0.2 ,8.0,0.1 ,,,,,,,
だいこん類　だいこん　根　皮なし　生　おろし汁,12.0 ,0.3 ,Tr,2.7 ,0.1 ,,,,,,,
だいこん類　だいこん　根　皮なし　生　おろし水洗い,23.0 ,0.6 ,0.1 ,7.2 ,0.1 ,,,,,,,
だいこん類　だいこん　根　皮なし　ゆで,15.0 ,0.5 ,0.1 ,4.0,0,,,,,,,
だいこん類　切干しだいこん　乾,280.0 ,9.7 ,0.8 ,69.7 ,0.5 ,,,,,,,
だいこん類　切干しだいこん　ゆで,13.0 ,0.9 ,0.1 ,4.1 ,0,,,,,,,
だいこん類　切干しだいこん　油いため,78.0 ,1.5 ,6.0,7.6 ,0,,,,,,,
だいこん類　漬物　いぶりがっこ,76.0 ,1.1 ,0.3 ,21.0,3.5 ,,,,,,,
だいこん類　漬物　ぬかみそ漬,29.0 ,1.3 ,0.1 ,6.7 ,3.8 ,,,,,,,
だいこん類　漬物　たくあん漬　塩押しだいこん漬,43.0 ,0.6 ,0.3 ,10.8 ,3.3 ,,,,,,,
だいこん類　漬物　たくあん漬　干しだいこん漬,23.0 ,1.9 ,0.1 ,5.5 ,2.5 ,,,,,,,
だいこん類　漬物　守口漬,194.0 ,5.3 ,0.2 ,44.3 ,3.6 ,,,,,,,
だいこん類　漬物　べったら漬,53.0 ,0.4 ,0.2 ,13.1 ,2.8 ,,,,,,,
だいこん類　漬物　みそ漬,52.0 ,2.1 ,0.3 ,11.4 ,7.2 ,,,,,,,
だいこん類　漬物　福神漬,137.0 ,2.7 ,0.1 ,33.3 ,5.1 ,,,,,,,
たいさい類　つまみな　葉　生,19.0 ,1.9 ,0.3 ,3.6 ,0.1 ,,,,,,,
たいさい類　たいさい　葉　生,15.0 ,0.9 ,0.1 ,3.5 ,0.1 ,,,,,,,
たいさい類　たいさい　塩漬,19.0 ,1.6 ,0.1 ,4.3 ,1.8 ,,,,,,,
たかな　葉　生,21.0 ,1.8 ,0.2 ,4.2 ,0.1 ,,,,,,,
たかな　たかな漬,30.0 ,1.9 ,0.6 ,6.2 ,4.0,,,,,,,
たけのこ　若茎　生,27.0 ,3.6 ,0.2 ,4.3 ,0,,,,,,,
たけのこ　若茎　ゆで,31.0 ,3.5 ,0.2 ,5.5 ,0,,,,,,,
たけのこ　水煮缶詰,22.0 ,2.7 ,0.2 ,4.0,0,,,,,,,
たけのこ　めんま　塩蔵　塩抜き,15.0 ,1.0,0.5 ,3.6 ,0.9 ,,,,,,,
たまねぎ類　たまねぎ　りん茎　生,33.0 ,1.0,0.1 ,8.4 ,0,,,,,,,
たまねぎ類　たまねぎ　りん茎　水さらし,24.0 ,0.6 ,0.1 ,6.1 ,0,,,,,,,
たまねぎ類　たまねぎ　りん茎　ゆで,30.0 ,0.8 ,0.1 ,7.3 ,0,,,,,,,
たまねぎ類　たまねぎ　りん茎　油いため,100.0 ,1.4 ,5.9 ,12.0,0,,,,,,,
たまねぎ類　たまねぎ　りん茎　油いため　あめ色たまねぎ,208.0 ,3.2 ,6.8 ,34.1 ,0,,,,,,,
たまねぎ類　赤たまねぎ　りん茎　生,34.0 ,0.9 ,0.1 ,9.0,0,,,,,,,
たまねぎ類　葉たまねぎ　りん茎及び葉　生,33.0 ,1.8 ,0.4 ,7.6 ,0,,,,,,,
たらのめ　若芽　生,27.0 ,4.2 ,0.2 ,4.3 ,0,,,,,,,
たらのめ　若芽　ゆで,27.0 ,4.0,0.2 ,4.1 ,0,,,,,,,
チコリ　若芽　生,17.0 ,1.0,Tr,3.9 ,0,,,,,,,
ちぢみゆきな　葉　生,35.0 ,3.6 ,0.6 ,5.7 ,0,,,,,,,
ちぢみゆきな　葉　ゆで,34.0 ,3.8 ,0.7 ,5.2 ,0,,,,,,,
チンゲンサイ　葉　生,9.0 ,0.6 ,0.1 ,2.0,0.1 ,,,,,,,
チンゲンサイ　葉　ゆで,11.0 ,0.9 ,0.1 ,2.4 ,0.1 ,,,,,,,
チンゲンサイ　葉　油いため,36.0 ,0.8 ,3.2 ,2.2 ,0.1 ,,,,,,,
つくし　胞子茎　生,31.0 ,3.5 ,0.1 ,8.1 ,0,,,,,,,
つくし　胞子茎　ゆで,28.0 ,3.4 ,0.1 ,6.7 ,0,,,,,,,
つるな　茎葉　生,15.0 ,1.8 ,0.1 ,2.8 ,0,,,,,,,
つるにんじん　根　生,55.0 ,1.0,0.7 ,19.8 ,0,,,,,,,
つるむらさき　茎葉　生,11.0 ,0.7 ,0.2 ,2.6 ,0,,,,,,,
つるむらさき　茎葉　ゆで,12.0 ,0.9 ,0.2 ,3.2 ,0,,,,,,,
つわぶき　葉柄　生,19.0 ,0.4 ,0,5.6 ,0.3 ,,,,,,,
つわぶき　葉柄　ゆで,14.0 ,0.3 ,0,4.4 ,0.1 ,,,,,,,
とうがらし　葉･果実　生,32.0 ,3.4 ,0.1 ,7.2 ,0,,,,,,,
とうがらし　葉･果実　油いため,81.0 ,4.0,4.9 ,8.5 ,0,,,,,,,
とうがらし　果実　生,72.0 ,3.9 ,3.4 ,16.3 ,0,,,,,,,
とうがらし　果実　乾,270.0 ,14.7 ,12.0,58.4 ,0,,,,,,,
とうがん　果実　生,15.0 ,0.5 ,0.1 ,3.8 ,0,,,,,,,
とうがん　果実　ゆで,15.0 ,0.6 ,0.1 ,3.7 ,0,,,,,,,
とうもろこし類　スイートコーン　未熟種子　生,89.0 ,3.6 ,1.7 ,16.8 ,0,,,,,,,
とうもろこし類　スイートコーン　未熟種子　ゆで,95.0 ,3.5 ,1.7 ,18.6 ,0,,,,,,,
とうもろこし類　スイートコーン　未熟種子　電子レンジ調理,104.0 ,4.2 ,2.2 ,19.1 ,0,,,,,,,
とうもろこし類　スイートコーン　未熟種子　穂軸つき　冷凍,96.0 ,3.5 ,1.5 ,18.7 ,0,,,,,,,
とうもろこし類　スイートコーン　未熟種子　カーネル　冷凍,91.0 ,2.9 ,1.3 ,19.8 ,0,,,,,,,
とうもろこし類　スイートコーン　未熟種子　カーネル　冷凍　ゆで,92.0 ,2.8 ,1.5 ,18.7 ,0,,,,,,,
とうもろこし類　スイートコーン　未熟種子　カーネル　冷凍　油いため,125.0 ,2.9 ,5.8 ,18.9 ,0,,,,,,,
とうもろこし類　スイートコーン　缶詰　クリームスタイル,82.0 ,1.7 ,0.5 ,18.6 ,0.7 ,,,,,,,
とうもろこし類　スイートコーン　缶詰　ホールカーネルスタイル,78.0 ,2.3 ,0.5 ,17.8 ,0.5 ,,,,,,,
とうもろこし類　ヤングコーン　幼雌穂　生,29.0 ,2.3 ,0.2 ,6.0,0,,,,,,,
トマト類　赤色トマト　果実　生,20.0 ,0.7 ,0.1 ,4.7 ,0,,,,,,,
トマト類　赤色ミニトマト　果実　生,30.0 ,1.1 ,0.1 ,7.2 ,0,,,,,,,
トマト類　黄色トマト　果実　生,18.0 ,1.1 ,0.4 ,3.2 ,0,,,,,,,
トマト類　ドライトマト,291.0 ,14.2 ,2.1 ,67.3 ,0.3 ,,,,,,,
トマト類　加工品　ホール　食塩無添加,21.0 ,0.9 ,0.2 ,4.4 ,0,,,,,,,
トマト類　加工品　トマトジュース　食塩添加,15.0 ,0.7 ,0.1 ,4.0,0.3 ,,,,,,,
トマト類　加工品　トマトジュース　食塩無添加,18.0 ,0.7 ,0.1 ,4.0,0,,,,,,,
トマト類　加工品　ミックスジュース　食塩添加,18.0 ,0.6 ,0,4.3 ,0.2 ,,,,,,,
トマト類　加工品　ミックスジュース　食塩無添加,18.0 ,0.6 ,0,4.3 ,0,,,,,,,
トレビス　葉　生,17.0 ,1.1 ,0.2 ,3.9 ,0,,,,,,,
とんぶり　ゆで,89.0 ,6.1 ,3.5 ,12.9 ,0,,,,,,,
ながさきはくさい　葉　生,12.0 ,1.3 ,0.1 ,2.6 ,0.1 ,,,,,,,
ながさきはくさい　葉　ゆで,18.0 ,2.2 ,0.1 ,3.4 ,0,,,,,,,
なす類　なす　果実　生,18.0 ,1.1 ,0.1 ,5.1 ,0,,,,,,,
なす類　なす　果実　ゆで,17.0 ,1.0,0.1 ,4.5 ,0,,,,,,,
なす類　なす　果実　油いため,73.0 ,1.5 ,5.8 ,6.3 ,0,,,,,,,
なす類　なす　果実　天ぷら,165.0 ,1.6 ,14.0,12.0,0.1 ,,,,,,,
なす類　べいなす　果実　生,20.0 ,1.1 ,0.1 ,5.3 ,0,,,,,,,
なす類　べいなす　果実　素揚げ,177.0 ,1.0,17.0,6.7 ,0,,,,,,,
なす類　漬物　塩漬,22.0 ,1.4 ,0.1 ,5.2 ,2.2 ,,,,,,,
なす類　漬物　ぬかみそ漬,27.0 ,1.7 ,0.1 ,6.1 ,2.5 ,,,,,,,
なす類　漬物　こうじ漬,87.0 ,5.5 ,0.1 ,18.2 ,6.6 ,,,,,,,
なす類　漬物　からし漬,127.0 ,2.6 ,0.2 ,30.7 ,4.8 ,,,,,,,
なす類　漬物　しば漬,27.0 ,1.4 ,0.2 ,7.0,4.1 ,,,,,,,
なずな　葉　生,35.0 ,4.3 ,0.1 ,7.0,0,,,,,,,
なばな類　和種なばな　花らい・茎　生,34.0 ,4.4 ,0.2 ,5.8 ,0,,,,,,,
なばな類　和種なばな　花らい・茎　ゆで,28.0 ,4.7 ,0.1 ,4.3 ,0,,,,,,,
なばな類　洋種なばな　茎葉　生,36.0 ,4.1 ,0.4 ,6.0,0,,,,,,,
なばな類　洋種なばな　茎葉　ゆで,30.0 ,3.6 ,0.4 ,5.3 ,0,,,,,,,
にがうり　果実　生,15.0 ,1.0,0.1 ,3.9 ,0,,,,,,,
にがうり　果実　油いため,47.0 ,1.2 ,3.3 ,4.6 ,0,,,,,,,
にら類　にら　葉　生,18.0 ,1.7 ,0.3 ,4.0,0,,,,,,,
にら類　にら　葉　ゆで,27.0 ,2.6 ,0.5 ,5.7 ,0,,,,,,,
にら類　にら　葉　油いため,69.0 ,1.9 ,5.7 ,4.9 ,0,,,,,,,
にら類　花にら　花茎・花らい　生,27.0 ,1.9 ,0.2 ,5.9 ,0,,,,,,,
にら類　黄にら　葉　生,18.0 ,2.1 ,0.1 ,3.3 ,0,,,,,,,
にんじん類　葉にんじん　葉　生,16.0 ,1.1 ,0.2 ,3.7 ,0.1 ,,,,,,,
にんじん類　にんじん　根　皮つき　生,35.0 ,0.7 ,0.2 ,9.3 ,0.1 ,,,,,,,
にんじん類　にんじん　根　皮つき　ゆで,29.0 ,0.6 ,0.2 ,8.4 ,0.1 ,,,,,,,
にんじん類　にんじん　根　皮なし　生,30.0 ,0.8 ,0.1 ,8.7 ,0.1 ,,,,,,,
にんじん類　にんじん　根　皮なし　ゆで,28.0 ,0.7 ,0.1 ,8.5 ,0.1 ,,,,,,,
にんじん類　にんじん　根　皮なし　油いため,103.0 ,1.1 ,6.4 ,12.4 ,0.1 ,,,,,,,
にんじん類　にんじん　根　皮なし　素揚げ,87.0 ,1.0,3.5 ,13.9 ,0.1 ,,,,,,,
にんじん類　にんじん　根　皮　生,26.0 ,0.7 ,0.2 ,7.3 ,0,,,,,,,
にんじん類　にんじん　根　冷凍,30.0 ,0.8 ,0.2 ,8.2 ,0.1 ,,,,,,,
にんじん類　にんじん　根　冷凍　ゆで,24.0 ,0.7 ,0.2 ,7.0,0.1 ,,,,,,,
にんじん類　にんじん　根　冷凍　油いため,65.0 ,0.9 ,4.0,9.3 ,0.2 ,,,,,,,
にんじん類　にんじん　グラッセ,53.0 ,0.7 ,1.4 ,12.7 ,1.0,,,,,,,
にんじん類　にんじん　ジュース　缶詰,29.0 ,0.6 ,0.1 ,6.7 ,0,,,,,,,
にんじん類　きんとき　根　皮つき　生,39.0 ,1.8 ,0.2 ,9.6 ,0,,,,,,,
にんじん類　きんとき　根　皮つき　ゆで,37.0 ,1.9 ,0.2 ,9.2 ,0,,,,,,,
にんじん類　きんとき　根　皮なし　生,40.0 ,1.8 ,0.3 ,9.7 ,0,,,,,,,
にんじん類　きんとき　根　皮なし　ゆで,40.0 ,1.9 ,0.4 ,9.6 ,0,,,,,,,
にんじん類　ミニキャロット　根　生,26.0 ,0.7 ,0.2 ,7.5 ,0,,,,,,,
にんにく類　にんにく　りん茎　生,129.0 ,6.4 ,0.9 ,27.5 ,0,,,,,,,
にんにく類　にんにく　りん茎　油いため,191.0 ,8.2 ,5.9 ,30.6 ,0,,,,,,,
にんにく類　茎にんにく　花茎　生,44.0 ,1.9 ,0.3 ,10.6 ,0,,,,,,,
にんにく類　茎にんにく　花茎　ゆで,43.0 ,1.7 ,0.2 ,10.7 ,0,,,,,,,
ねぎ類　根深ねぎ　葉　軟白　生,35.0 ,1.4 ,0.1 ,8.3 ,0,,,,,,,
ねぎ類　根深ねぎ　葉　軟白　ゆで,28.0 ,1.3 ,0.1 ,6.8 ,0,,,,,,,
ねぎ類　根深ねぎ　葉　軟白　油いため,77.0 ,1.6 ,4.4 ,9.5 ,0,,,,,,,
ねぎ類　葉ねぎ　葉　生,29.0 ,1.9 ,0.3 ,6.5 ,0,,,,,,,
ねぎ類　葉ねぎ　葉　油いため,77.0 ,2.1 ,5.2 ,7.9 ,0,,,,,,,
ねぎ類　こねぎ　葉　生,26.0 ,2.0,0.3 ,5.4 ,0,,,,,,,
のざわな　葉　生,14.0 ,0.9 ,0.1 ,3.5 ,0.1 ,,,,,,,
のざわな　漬物　塩漬,17.0 ,1.2 ,0.1 ,4.1 ,1.5 ,,,,,,,
のざわな　漬物　調味漬,22.0 ,1.7 ,0,5.4 ,2.4 ,,,,,,,
のびる　りん茎葉　生,63.0 ,3.2 ,0.2 ,15.5 ,0,,,,,,,
はくさい　結球葉　生,13.0 ,0.8 ,0.1 ,3.2 ,0,,,,,,,
はくさい　結球葉　ゆで,13.0 ,0.9 ,0.1 ,2.9 ,0,,,,,,,
はくさい　漬物　塩漬,17.0 ,1.5 ,0.1 ,3.3 ,2.1 ,,,,,,,
はくさい　漬物　キムチ,27.0 ,2.3 ,0.1 ,5.4 ,2.9 ,,,,,,,
パクチョイ　葉　生,15.0 ,1.6 ,0.2 ,2.7 ,0,,,,,,,
バジル　葉　生,21.0 ,2.0,0.6 ,4.0,0,,,,,,,
パセリ　葉　生,34.0 ,4.0,0.7 ,7.8 ,0,,,,,,,
はつかだいこん　根　生,13.0 ,0.8 ,0.1 ,3.1 ,0,,,,,,,
はなっこりー　生,34.0 ,3.6 ,0.5 ,5.4 ,0,,,,,,,
はやとうり　果実　白色種　生,20.0 ,0.6 ,0.1 ,4.9 ,0,,,,,,,
はやとうり　果実　白色種　塩漬,17.0 ,0.6 ,Tr,4.4 ,3.6 ,,,,,,,
はやとうり　果実　緑色種　生,21.0 ,0.6 ,0.1 ,4.9 ,0,,,,,,,
ビーツ　根　生,38.0 ,1.6 ,0.1 ,9.3 ,0.1 ,,,,,,,
ビーツ　根　ゆで,42.0 ,1.5 ,0.1 ,10.2 ,0.1 ,,,,,,,
ピーマン類　青ピーマン　果実　生,20.0 ,0.9 ,0.2 ,5.1 ,0,,,,,,,
ピーマン類　青ピーマン　果実　油いため,54.0 ,0.9 ,4.3 ,5.4 ,0,,,,,,,
ピーマン類　赤ピーマン　果実　生,28.0 ,1.0,0.2 ,7.2 ,0,,,,,,,
ピーマン類　赤ピーマン　果実　油いため,69.0 ,1.0,4.3 ,7.6 ,0,,,,,,,
ピーマン類　オレンジピーマン　果実　生,19.0 ,0.9 ,0.3 ,4.2 ,0,,,,,,,
ピーマン類　オレンジピーマン　果実　油いため,81.0 ,1.1 ,5.1 ,7.6 ,0,,,,,,,
ピーマン類　黄ピーマン　果実　生,28.0 ,0.8 ,0.2 ,6.6 ,0,,,,,,,
ピーマン類　黄ピーマン　果実　油いため,61.0 ,0.8 ,4.3 ,6.9 ,0,,,,,,,
ピーマン類　トマピー　果実　生,33.0 ,1.0,0.2 ,7.5 ,0,,,,,,,
ひのな　根・茎葉　生,17.0 ,1.0,Tr,4.7 ,0,,,,,,,
ひのな　根・茎葉　甘酢漬,70.0 ,1.4 ,0.5 ,17.3 ,2.8 ,,,,,,,
ひろしまな　葉　生,19.0 ,1.5 ,0.2 ,4.2 ,0.1 ,,,,,,,
ひろしまな　塩漬,15.0 ,1.2 ,0.2 ,3.3 ,2.1 ,,,,,,,
ふき類　ふき　葉柄　生,11.0 ,0.3 ,0,3.0,0.1 ,,,,,,,
ふき類　ふき　葉柄　ゆで,7.0 ,0.3 ,0,1.9 ,0.1 ,,,,,,,
ふき類　ふきのとう　花序　生,38.0 ,2.5 ,0.1 ,10.0,0,,,,,,,
ふき類　ふきのとう　花序　ゆで,31.0 ,2.5 ,0.1 ,7.0,0,,,,,,,
ふじまめ　若ざや　生,32.0 ,2.5 ,0.1 ,7.4 ,0,,,,,,,
ふだんそう　葉　生,17.0 ,2.0,0.1 ,3.7 ,0.2 ,,,,,,,
ふだんそう　葉　ゆで,26.0 ,2.8 ,0.1 ,5.4 ,0.2 ,,,,,,,
ブロッコリー　花序　生,37.0 ,5.4 ,0.6 ,6.6 ,0,,,,,,,
ブロッコリー　花序　ゆで,30.0 ,3.9 ,0.4 ,5.2 ,0,,,,,,,
ブロッコリー　花序　電子レンジ調理,56.0 ,5.7 ,0.7 ,7.0,0,,,,,,,
ブロッコリー　花序　焼き,83.0 ,9.9 ,1.2 ,8.4 ,0,,,,,,,
ブロッコリー　花序　油いため,109.0 ,6.9 ,6.3 ,6.1 ,0,,,,,,,
ブロッコリー　芽ばえ　生,18.0 ,1.9 ,0.6 ,2.6 ,0,,,,,,,
へちま　果実　生,17.0 ,0.8 ,0.1 ,3.8 ,0,,,,,,,
へちま　果実　ゆで,19.0 ,1.6 ,0.1 ,3.7 ,0,,,,,,,
ほうれんそう　葉　通年平均　生,18.0 ,2.2 ,0.4 ,3.1 ,0,,,,,,,
ほうれんそう　葉　通年平均　ゆで,23.0 ,2.6 ,0.5 ,4.0,0,,,,,,,
ほうれんそう　葉　通年平均　油いため,91.0 ,3.8 ,8.1 ,4.4 ,0,,,,,,,
ほうれんそう　葉　夏採り　生,18.0 ,2.2 ,0.4 ,3.1 ,0,,,,,,,
ほうれんそう　葉　夏採り　ゆで,23.0 ,2.6 ,0.5 ,4.0,0,,,,,,,
ほうれんそう　葉　冬採り　生,18.0 ,2.2 ,0.4 ,3.1 ,0,,,,,,,
ほうれんそう　葉　冬採り　ゆで,23.0 ,2.6 ,0.5 ,4.0,0,,,,,,,
ほうれんそう　葉　冷凍,22.0 ,2.9 ,0.3 ,3.4 ,0.3 ,,,,,,,
ほうれんそう　葉　冷凍　ゆで,26.0 ,3.7 ,0.5 ,3.8 ,0.1 ,,,,,,,
ほうれんそう　葉　冷凍　油いため,67.0 ,4.0,4.5 ,5.4 ,0.4 ,,,,,,,
ホースラディシュ　根茎　生,69.0 ,3.1 ,0.3 ,17.7 ,0,,,,,,,
まこも　茎　生,19.0 ,1.3 ,0.2 ,4.4 ,0,,,,,,,
みずかけな　葉　生,25.0 ,2.9 ,0.1 ,4.7 ,0,,,,,,,
みずかけな　塩漬,34.0 ,4.9 ,Tr,5.7 ,2.5 ,,,,,,,
みずな　葉　生,23.0 ,2.2 ,0.1 ,4.8 ,0.1 ,,,,,,,
みずな　葉　ゆで,21.0 ,2.0,0.1 ,4.7 ,0.1 ,,,,,,,
みずな　塩漬,26.0 ,2.0,0.1 ,5.9 ,2.3 ,,,,,,,
みつば類　切りみつば　葉　生,16.0 ,1.0,0.1 ,4.0,0,,,,,,,
みつば類　切りみつば　葉　ゆで,12.0 ,0.9 ,0.1 ,3.3 ,0,,,,,,,
みつば類　根みつば　葉　生,19.0 ,1.9 ,0.1 ,4.1 ,0,,,,,,,
みつば類　根みつば　葉　ゆで,19.0 ,2.3 ,0.1 ,3.9 ,0,,,,,,,
みつば類　糸みつば　葉　生,12.0 ,0.9 ,0.1 ,2.9 ,0,,,,,,,
みつば類　糸みつば　葉　ゆで,14.0 ,1.1 ,0,4.0,0,,,,,,,
みぶな　葉　生,14.0 ,1.1 ,0.3 ,2.9 ,0.1 ,,,,,,,
みょうが類　みょうが　花穂　生,11.0 ,0.9 ,0.1 ,2.6 ,0,,,,,,,
みょうが類　みょうがたけ　茎葉　生,6.0 ,0.4 ,0.1 ,1.5 ,0,,,,,,,
むかご　肉芽　生,87.0 ,2.9 ,0.2 ,20.6 ,0,,,,,,,
めキャベツ　結球葉　生,52.0 ,5.7 ,0.1 ,9.9 ,0,,,,,,,
めキャベツ　結球葉　ゆで,51.0 ,5.3 ,0.1 ,9.8 ,0,,,,,,,
めたで　芽ばえ　生,39.0 ,3.0,0.5 ,8.8 ,0,,,,,,,
もやし類　アルファルファもやし　生,11.0 ,1.6 ,0.1 ,2.0,0,,,,,,,
もやし類　だいずもやし　生,29.0 ,3.7 ,1.5 ,2.3 ,0,,,,,,,
もやし類　だいずもやし　ゆで,27.0 ,2.9 ,1.6 ,2.2 ,0,,,,,,,
もやし類　ブラックマッペもやし　生,17.0 ,2.2 ,Tr,2.8 ,0,,,,,,,
もやし類　ブラックマッペもやし　ゆで,13.0 ,1.3 ,Tr,2.7 ,0,,,,,,,
もやし類　ブラックマッペもやし　油いため,41.0 ,2.3 ,0.9 ,5.8 ,0,,,,,,,
もやし類　りょくとうもやし　生,15.0 ,1.7 ,0.1 ,2.6 ,0,,,,,,,
もやし類　りょくとうもやし　ゆで,12.0 ,1.6 ,0,2.3 ,0,,,,,,,
モロヘイヤ　茎葉　生,36.0 ,4.8 ,0.5 ,6.3 ,0,,,,,,,
モロヘイヤ　茎葉　ゆで,24.0 ,3.0,0.4 ,4.0,0,,,,,,,
やぶまめ　生,219.0 ,15.5 ,6.5 ,29.5 ,0,,,,,,,
やまごぼう　みそ漬,66.0 ,4.1 ,0.1 ,15.6 ,7.1 ,,,,,,,
ゆりね　りん茎　生,119.0 ,3.8 ,0.1 ,28.3 ,0,,,,,,,
ゆりね　りん茎　ゆで,117.0 ,3.4 ,0.1 ,28.7 ,0,,,,,,,
ようさい　茎葉　生,17.0 ,2.2 ,0.1 ,3.1 ,0.1 ,,,,,,,
ようさい　茎葉　ゆで,18.0 ,2.2 ,0.1 ,4.1 ,0,,,,,,,
よめな　葉　生,40.0 ,3.4 ,0.2 ,10.0,0,,,,,,,
よもぎ　葉　生,43.0 ,5.2 ,0.3 ,8.7 ,0,,,,,,,
よもぎ　葉　ゆで,37.0 ,4.8 ,0.1 ,8.2 ,0,,,,,,,
