食品名,エネルギーkcal,たんぱく質,脂質,炭水化物,食塩相当量,,,,,,,
こむぎ　［うどん・そうめん類］　うどん　ゆで,95.0 ,2.6 ,0.4 ,21.6 ,0.3 ,,,,,,,
こむぎ　［うどん・そうめん類］　うどん　半生うどん,296.0 ,7.8 ,3.4 ,62.5 ,3.0 ,,,,,,,
こむぎ　［うどん・そうめん類］　干しうどん　乾,333.0 ,8.5 ,1.1 ,71.9 ,4.3 ,,,,,,,
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117.0 ,3.1 ,0.5 ,25.8 ,0.5 ,,,,,,,
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333.0 ,9.5 ,1.1 ,72.7 ,3.8 ,,,,,,,
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114.0 ,3.5 ,0.4 ,25.8 ,0.2 ,,,,,,,
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312.0 ,9.3 ,1.5 ,68.9 ,5.8 ,,,,,,,
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119.0 ,3.5 ,0.6 ,25.5 ,0.3 ,,,,,,,
こむぎ　［中華めん類］　中華めん　生,249.0 ,8.6 ,1.2 ,55.7 ,1.0,,,,,,,
こむぎ　［中華めん類］　中華めん　ゆで,133.0 ,4.9 ,0.6 ,29.2 ,0.2 ,,,,,,,
こむぎ　［中華めん類］　半生中華めん　,305.0 ,9.9 ,4.0 ,61.2 ,1.2 ,,,,,,,
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162.0 ,4.9 ,1.7 ,35.6 ,0.3 ,,,,,,,
こむぎ　［中華めん類］　蒸し中華めん  ソテー,211.0 ,5.2 ,4.9 ,38.9 ,0.3 ,,,,,,,
こむぎ　［中華めん類］　干し中華めん　乾,337.0 ,11.7 ,1.6 ,70.2 ,1.0,,,,,,,
こむぎ　［中華めん類］　干し中華めん　ゆで,131.0 ,4.9 ,0.5 ,27.5 ,0.2 ,,,,,,,
こむぎ　［中華めん類］　沖縄そば　生,266.0 ,9.2 ,2.0,54.2 ,2.1 ,,,,,,,
こむぎ　［中華めん類］　沖縄そば　ゆで,132.0 ,5.2 ,0.8 ,28.0,0.4 ,,,,,,,
こむぎ　［中華めん類］　干し沖縄そば　乾,317.0 ,12.0,1.7 ,67.8 ,4.3 ,,,,,,,
こむぎ　［中華めん類］　干し沖縄そば　ゆで,132.0 ,5.2 ,0.6 ,28.6 ,0.5 ,,,,,,,
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424.0 ,10.1 ,16.7 ,63.5 ,6.4 ,,,,,,,
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　添付調味料等を含むもの,439.0 ,10.1 ,19.1 ,61.4 ,5.6 ,,,,,,,
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　添付調味料等を含むもの,100.0 ,2.3 ,4.4 ,13.4 ,1.1 ,,,,,,,
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　添付調味料等を含まないもの,189.0 ,3.9 ,7.7 ,27.9 ,0.4 ,,,,,,,
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　添付調味料等を含まないもの,453.0 ,8.9 ,19.6 ,65.5 ,1.5 ,,,,,,,
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　添付調味料等を含むもの,336.0 ,10.3 ,5.2 ,67.1 ,6.9 ,,,,,,,
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　添付調味料等を含むもの,93.0 ,3.0 ,0.8 ,18.7 ,1.1 ,,,,,,,
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　添付調味料等を含まないもの,139.0 ,3.4 ,0.8 ,31.0,0.6 ,,,,,,,
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　添付調味料等を含まないもの,334.0 ,8.5 ,1.9 ,75.2 ,3.0,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　添付調味料等を含むもの,422.0 ,10.9 ,18.5 ,58.6 ,5.8 ,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　添付調味料等を含むもの,92.0 ,2.5 ,4.2 ,13.2 ,1.3 ,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　スープを残したもの,175.0 ,3.8 ,7.7 ,25.2 ,1.1 ,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　添付調味料等を含むもの,417.0 ,10.0,19.1 ,54.6 ,6.3 ,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　添付調味料等を含むもの,90.0 ,2.3 ,4.5 ,12.9 ,1.5 ,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　スープを残したもの,142.0 ,3.0,5.8 ,20.7 ,1.1 ,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　添付調味料等を含むもの,418.0 ,8.2 ,18.6 ,57.5 ,3.8 ,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　添付調味料等を含むもの,222.0 ,5.0 ,11.3 ,34.2 ,2.3 ,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　添付調味料等を含むもの,314.0 ,9.2 ,5.8 ,62.6 ,7.1 ,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　添付調味料等を含むもの,66.0 ,2.5 ,2.1 ,10.2 ,1.4 ,,,,,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　スープを残したもの,121.0 ,3.4 ,1.3 ,25.3 ,1.0,,,,,,,
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　添付調味料等を含むもの,437.0 ,10.9 ,19.8 ,56.1 ,6.7 ,,,,,,,
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　添付調味料等を含むもの,91.0 ,2.2 ,4.7 ,11.2 ,1.4 ,,,,,,,
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　スープを残したもの,163.0 ,2.7 ,7.2 ,24.4 ,1.1 ,,,,,,,
